titulo,titulo_original,isbn,segmento_especifico,idioma,encadernacao,formato,paginas,colecao,ano_de_edicao,ano_copyright,edicao,coeditora,outras_informacoes,autores,editora,categoria,sinopse,link
Desenhos de um garoto solitario,NA,9788582770924,NA,Português,Brochura,"10,5 x 14,8",128,NA,2015,NA,1ª,NA,NA,Naldo Junio,Farol Literário,Juvenil,"Não, não é um livro de histórias em quadrinhos. Também não é um livro de poesia ou uma pequena novela. São pensamentos, piadas, declarações de amor, raiva, alegria e tristeza, sempre com muito humor e um toque de ironia. Em Desenhos de um garoto solitário, estão reunidas as artes feitas por Naldo Junio, um jovem de Goiânia que começou a desenhar e resolveu compartilhar seus desenhos nas redes sociais, tendo hoje mais de 850 mil seguidores! Agora seu personagem sai do mundo virtual para ganhar as estantes e espalhar muitas risadas por aí!",https://www.travessa.com.br/desenhos-de-um-garoto-solitario-1-ed-2015/artigo/055c0233-c824-4bb5-a4ec-e35c65c691a8
Dois meninos de kakuma,NA,9788595760066,NA,Português,Brochura,"18,5 x 26",72,NA,2018,NA,1ª,NA,NA,Marie Ange Bordas,Pulo do Gato,Infantil,"Geedi e Deng são amigos inseparáveis. Geedi é somali, Deng, sudanês. Companheiros de vida e sonhos, inquietações e dúvidas sobre o futuro, os dois vivem em Kakuma, um dos maiores campos de refugiados do mundo.Geedi tem 12 anos e não imagina como é a vida fora desse enorme campo em que vive com a mãe e irmã. Deng chegou sozinho a Kakuma, ainda menino, fugindo da guerra que devastava seu país.Os dois assistem aos adultos de diferentes nacionalidades sobreviverem na esperança de voltarem para a sua pátria ou serem acolhidos por algum país onde possam reconstruir suas vidas. E se perguntam o tempo todo: Por que estamos aqui? Por que estes conflitos nunca acabam? Qual futuro nos aguarda?Dois meninos de Kakuma foi criado a partir da convivência e do trabalho desenvolvido por Marie Ange Bordas com crianças e jovens do campo de refugiados de Kakuma, no Quênia, que hoje abriga quase 200 mil pessoas de 15 nacionalidades diferentes.A narrativa ficcional sobre a vida real conta com foto-ilustrações e fotografias da própria autora, levando o leitor a entrar em contato e a refletir sobre um tema urgente da atualidade: as gerações de crianças que nascem e se tornam adultas em campos de refugiados. Milhares e milhares de vidas invisíveis em suspenso, à espera de soluções para os inúmeros conflitos que fizeram com que se deslocassem pelo mundo.",https://www.travessa.com.br/dois-meninos-de-kakuma-1-ed-2018/artigo/b5c021e5-dd54-48b8-9b4d-52a9ab62fd7e
Ei! Tem alguem ai?,Hello? Er det noen her?,9788585466961,NA,Português,Brochura,14 x 21,128,NA,1997,1996,1ª,NA,Livro vencedor do prêmio FNLIJ 1997,Jostein Gaarder,Companhia das Letrinhas,Infantil,"Essa é a história de um menino de oito anos que vai ganhar um irmãozinho. Enquanto espera os pais voltarem da maternidade, ele recebe a visita de Mika, uma espécie de pequeno príncipe que parece de outro planeta. Os dois são muito diferentes, mas são muito parecidos também. Passam 24 horas juntos e conversam sobre temas interessantes como a origem da vida, os princípios da evolução e a extinção dos dinossauros. Quando Mika vai embora e os pais voltam com o bebê, o irmão mais velho sabe, de algum modo, que sua casa tem espaço para o novo habitante.Título Altamente Recomendável pela Fundação Nacional do Livro Infantil e Juvenil - FNLIJ 1997, categoria tradução/jovem",https://www.travessa.com.br/ei-tem-alguem-ai-1-ed-1997/artigo/3c257d1e-2bc7-4a12-b898-3f9bb1f5f5a9
Entao,NA,9788577533664,NA,Português,Brochura,"14 x 21 x 1,6",192,NA,2019,2019,1ª,NA,NA,Morris Gleitzman,Paz e Terra,Juvenil,"A continuação de Uma vez, a história contada através do olhar inocente e criativo de Felix, uma criança de 10 anos que tenta sobreviver em meio aos horrores do Holocausto.Felix é um daqueles personagens que ficam na memória. Um menino de 10 anos, criativo e esperto, que tenta sobreviver em meio a um dos mais cruéis episódios da história da humanidade: o Holocausto. Sua história começou a ser contada no livro Uma vez, ao descobrir que foi deixado pelos pais em um orfanato e resolve fugir, na tentativa de reencontrar a família. No meio do caminho, além de muitos sustos e perigos, Felix encontra Zelda, uma menina de 6 anos que ele salva de um incêndio.Neste vollume, Felix e Zelda, depois de fugirem de um trem que leva judeus para um campo de concentração na Polônia, precisam de coragem, criatividade e sorte para não serem pegos pelos nazistas nem morrerem de fome ou frio. Este é um livro que evoca emoção e ternura ao narrar, do ponto de vista infantil, as dificuldades de quem lutou para sobreviver ao Holocausto.Então parte do desejo de incluir um exemplo realmente notável: a história de pessoas dispostas a arriscar tudo para oferecer amizade e proteção a um estranho. O primeiro volume da série recebeu Prêmio da Fundação Nacional do Livro Infantil e Juvenil (FNLIJ) 2018, categoria Tradução/Adaptação Jovem.",https://www.travessa.com.br/entao-1-ed-2019/artigo/f333c884-fb64-4a29-a143-dea4bc70f067
Extraordinarias: mulheres que revolucionaram o brasil,NA,9788555340611,NA,Português,Brochura,20 x 25,208,NA,2017,2017,1ª,NA,NA,"Duda Porto de Souza, Aryane Cararo",Seguinte,Juvenil,"Dandara foi uma guerreira fundamental para o Quilombo dos Palmares. Niède Guidon descobriu os registros rupestres mais importantes do nosso território. Indianara Siqueira é uma das lideranças mais atuantes da comunidade trans.Essas e muitas outras brasileiras impactaram a nossa história e, indiretamente, a nossa vida, mas raramente aparecem nos livros. Este volume, resultado de uma extensa pesquisa, chega para trazer o reconhecimento que elas merecem. Aqui, você vai encontrar perfis de revolucionárias de etnias e regiões variadas, que viveram desde o século XVI até a atualidade, e conhecer os retratos de cada uma delas, feitos por artistas brasileiras.O que todas essas mulheres têm em comum? A força extraordinária para lutar por seus ideais e transformar o Brasil.",https://www.travessa.com.br/extraordinarias-mulheres-que-revolucionaram-o-brasil-1-ed-2017/artigo/3ceffff4-bde0-4613-a02e-97d941002c92
Fernando pessoa: poemas para crianças,NA,9788599102763,Poesia,Português,Brochura,25 x 21,40,NA,2007,2007,1ª,NA,NA,Fernando Pessoa,Martins,Infantil,"Várias gerações foram conquistadas pela poesia de Fernando Pessoa e dos seus heterônimos, mas poucos se lembram que ele escreveu poemas para crianças. Neste livro, estão reunidos poemas que o autor fez especificamente para sua sobrinha Manuela - ou para a boneca de Manuela, Lili - e alguns que podem ser lidos por toda criança sensível à beleza do verso e das imagens.Com seleção e apresentação do poeta Alexei Bueno, e ilustrações de Lu Martins, a presente edição revela mais esta face de um dos mais importantes poeta em língua portuguesa.",https://www.travessa.com.br/fernando-pessoa-poemas-para-criancas-1-ed-2007/artigo/cdb5ee3c-91ce-4c69-b523-3a93ceecdf13
Frankenstein,"Frankenstein, or the modern prometheus",9788571643987,NA,Português,Brochura,12 x 21,136,NA,1994,1994,1ª,NA,NA,Mary Shelley,Seguinte,Juvenil,"Eles o escorraçavam de todos os ambientes como se ele fosse um monstro. Ninguém queria saber de seus sentimentos, nem ligava para o fato de que talvez ele tivesse uma alma. Foi então que ele começou a matar.Bem, vamos ser justos: ele era mesmo um monstro, mas tinha motivos para isso. E foram esses motivos que o tornaram o personagem mais importante da literatura de horror.",https://www.travessa.com.br/frankenstein-1-ed-1994/artigo/4afc186e-8bd4-4f7d-a283-f58794587fa9
Frida kahlo: uma biografia,"Frida kahlo, una biografia",9788525436849,NA,Português,Brochura,"15,8 x 23 x 1",152,NA,2018,2016,2ª,NA,NA,Maria Hesse,L&PM,Biografias e Memórias,"Uma artista cheia de vida, uma vida cheia de coresA mexicana Frida Kahlo é hoje uma das artistas mais populares do mundo todo. Seus quadros atingem valores recordes, e seu rosto é reconhecido em todo o planeta. Sua curta vida, entretanto, foi fascinante e cheia de acontecimentos.E não é para menos. Frida teve de lidar desde muito cedo com uma deficiência física congênita, e, adolescente, sofreu o conhecido acidente que quase a matou e a deixou meses numa cama, onde então começou a pintar quadros deitada, muitos deles autorretratos. Apesar da saúde fragilizada, seguiu em frente e casou-se com o grande pintor Diego Rivera, vinte anos mais velho, com quem teve uma relação intensa e turbulenta: “Sofri dois acidentes graves na vida, um em que um ônibus me jogou no chão… Outro acidente é o Diego”. Bebeu na fonte da riquíssima cultura tradicional mexicana e com roupas longas e coloridas disfarçou seu passo manco, reinventando-se constantemente como mulher e artista. Sofreu vários abortos, viu frustrado o seu desejo de ser mãe, viveu traições indizíveis, teve muitos amores – inclusive mulheres –, foi feminista numa América Latina machista, amante de Trotski, de cujo assassinato chegou a ser suspeita, e ganhou o mundo com sua arte e sua história.María Hesse, artista gráfica espanhola, nos brinda aqui com uma lindíssima biografia ilustrada que apresenta, entretecidas, a vida e a obra de Frida Kahlo, incluindo trechos de seus diários, cartas e depoimentos. O livro revela as dores e as delícias de sua existência, mas também como usou a arte para vencer as limitações que as condições lhe impunham e reinventar o próprio existir. O resultado é uma obra poética, lapidar, que dá voz a uma das figuras mais interessantes do século XX.",https://www.travessa.com.br/frida-kahlo-uma-biografia-2-ed-2018/artigo/c467b0fe-92c0-477d-96a7-451a7459eea3
Haroun e o mar de historias,Haroun and the sea of stories,9788535916980,NA,Português,Brochura,"12,5 x 18",184,NA,2010,1990,1ª,NA,NA,Salman Rushdie,Companhia de Bolso,Literatura Estrangeira,"Rashid, um contador de histórias profissional, é o próprio “mar de ideias”. Um dia, porém, ele perde o dom da palavra, e com isso perde também seu ganha-pão e toda a alegria de viver. É então que seu filho Haroun descobre que toda história vem de um grande mar de histórias, o que o faz entregar-se à fantástica aventura de ir em busca das palavras. Escapando de muitos perigos, Haroun conseguirá vencer as tenebrosas forças da escuridão e do silêncio. Uma narrativa bem-humorada, uma defesa da criação, da fantasia e da liberdade, uma celebração da alegria de contar histórias e do prazer de ouvi-las.",https://www.travessa.com.br/haroun-e-o-mar-de-historias-1-ed-2010/artigo/4ad3e25a-6f9b-4c23-89ce-075dbe8ee038
Heroinas negras brasileiras em 15 cordeis,NA,9788555341120,NA,Português,Brochura,"12 x 21 x 1,3",176,NA,2020,2020,1ª,NA,NA,Jarid Arraes,Seguinte,Juvenil,"Em nova edição, esta coletânea resgata — e celebra — a memória de quinze mulheres negras que marcaram nossa história, em formato de cordel. Talvez você já tenha ouvido falar de Dandara e Carolina Maria de Jesus. Mas e Eva Maria do Bonsucesso? Luisa Mahin? Na Agontimé? Tia Ciata? Essas (e tantas outras) mulheres negras foram verdadeiras heroínas brasileiras, mas pouco se fala delas, seja na escola ou nos meios de comunicação. Diante desse apagamento, há anos a escritora Jarid Arraes tem se dedicado a recuperar — e recontar — suas histórias. O resultado é uma coleção de cordéis que resgata a memória dessas personagens, que lutaram pela sua liberdade e seus direitos, reivindicaram seu espaço na política e nas artes, levantaram sua voz contra a injustiça e a opressão. A multiplicidade de histórias revela as mais diversas estratégias de sobrevivência e resistência, seja na linha de frente — como Tereza de Benguela, que liderou o quilombo de Quariterê — ou pelas brechas — como a quituteira Luisa Mahin, que transmitia bilhetes secretos durante a Revolta dos Malês. Este livro reúne quinze dessas histórias impressionantes, ilustradas por Gabriela Pires. Agora, cabe a você conhecê-las, espalhá-las, celebrá-las. Para que as próximas gerações possam crescer com seu próprio panteão de heroínas negras brasileiras. Conheça a história de: Antonieta de Barros - Aqualtune - Carolina Maria de Jesus - Dandara - Esperança Garcia - Eva Maria do Bonsucesso - Laudelina de Campos - Luisa Mahin - Maria Felipa - Maria Firmina - Mariana Crioula - Na Agontimé - Tereza de Benguela - Tia Ciata - Zacimba Gaba",https://www.travessa.com.br/heroinas-negras-brasileiras-em-15-cordeis-1-ed-2020/artigo/3467eae1-c661-4d4f-8573-bb97a66edeaa
Historias da preta,NA,9788574062426,Literatura,Português,Brochura,"20 x 26 x 0,3",64,NA,2005,1998,2ª,NA,NA,Heloisa Pires Lima,Companhia das Letrinhas,Infantil,"Reunindo informação histórica, reflexão intelectual, estímulos ao exercício da cidadania e historinhas propriamente ditas (tiradas da mitologia africana, por exemplo), a autora fala sobre a população negra no Brasil, com a experiência de quem já foi alvo de racismo.As Histórias da Preta falam de um povo que veio para o Brasil à força. Homens, mulheres e crianças escravizadas, distantes de suas terras, foram obrigadas a exercer todo tipo de trabalho. Perderam toda a liberdade, sofreram muito. No entanto, sobreviveram à escravidão e acabaram fazendo do Brasil sua segunda casa. Como é ser negro neste país? Faz diferença ou tanto faz? Reunindo informação histórica, reflexão intelectual, estímulos ao exercício da cidadania e historinhas propriamente ditas (tiradas da mitologia africana, por exemplo), a autora fala sobre a população negra no Brasil, com a experiência de quem já foi alvo de racismo.A obra recebeu os prêmios Adolfo Aizen e José Cabassa pela União Brasileira de Escritores (UBE, 1999), o selo Altamente Recomendável pela Fundação Nacional do Livro Infanto Juvenil,FNLIJ 1998, categoria informativo. Também foi selecionado para o Brazilian Book Magazine para na Feira do Livro de Bolonha (1999).",https://www.travessa.com.br/historias-da-preta-2-ed-2005/artigo/8989fac9-f059-47fe-ae9d-6dee14784377
Historias guardadas pelo rio,NA,9788541820400,NA,Português,Brochura,"15,5 x 23",64,NA,2018,NA,1ª,NA,NA,Lucia Hiratsuka,Edições SM,Juvenil,"Por mais que tente, Pedro não consegue pescar histórias no rio. E essa é uma prática comum em sua cidade: dos pescadores que as pescam e as negociam, aos moradores de variadas idades que as recolhem das águas e depois as trocam, as presenteiam, as colecionam, bordam- nas linha por linha… Inconformado com o fato de não conseguir pescá-las, o jovem empreenderá uma busca sobre o segredo dessa arte de pesca, cuja resposta está guardada nas águas do rio.",https://www.travessa.com.br/historias-guardadas-pelo-rio-1-ed-2018/artigo/a4343323-91f1-46d4-85f5-d57fe728ba97
Luna clara & apolo onze,NA,9788516123734,NA,Português,Brochura,"15,5 x 22,5 x 2,5",296,NA,2020,2020,4ª,NA,NA,Adriana Falcao,Salamandra,Juvenil,"Desencontros levam os pais de Luna Clara - Doravante e Aventura - a se perder e a se encontrar. O avô da menina, Erudito, perde as histórias que havia colecionado e também o papagaio. As tias perdem os namorados. Em um constante ir e vir, na região de Desatino do Norte, as vidas de Luna Clara e Apolo Onze acabam se cruzando.",https://www.travessa.com.br/luna-clara-apolo-onze-4-ed-2020/artigo/5d09cfc8-a933-45b3-a291-374840edd1ec
Malala: minha historia em defesa dos direitos das meninas,Malala: my story of standing up for girls' rights,9788555341236,NA,Português,Brochura,"13,6 x 19,3 x 1,1",200,NA,2020,2018,1ª,NA,NA,"Malala Yousafzai, Patricia Mccormick",Seguinte,Juvenil,"A autobiografia da mais jovem ganhadora do prêmio Nobel da paz, em edição ilustrada e adaptada, para leitores de 8 a 12 anos. Antes de se tornar uma ativista conhecida no mundo inteiro, Malala era apenas uma garota que lutava por aquilo em que acreditava. Quando a região onde morava, no Paquistão, foi dominada pelo Talibã e as meninas foram proibidas de ir à escola, Malala arriscou a vida para defender o direito à educação. Nesta edição adaptada de suas memórias — enriquecida com ilustrações, glossário e linha do tempo —, você vai conhecer a história impressionante de uma jovem que se recusou a ficar em silêncio. Com suas próprias palavras, Malala nos mostra a importância de combater o ódio e o extremismo, e nos traz uma mensagem inspiradora de determinação e esperança. """,https://www.travessa.com.br/malala-minha-historia-em-defesa-dos-direitos-das-meninas-1-ed-2020/artigo/5be738fc-2661-4d79-a435-04e77a3911f1
"Mapas: uma viagem deslumbrante pelas terras, mares e culturas do mundo",Mapy,9788546903030,NA,Português,Capa dura,"27,7 x 37,7 x 1,6",118,NA,2020,2017,2ª,NA,NA,"Aleksandra Mizielinska, Daniel Mizielinski",Martins Fontes - WMF,Infantil,"Uma incrível viagem ao redor do mundo. Você verá as múmias do Egito, as cidades maias do México e os pinguins da Antártida. Na Inglaterra poderá jogar críquete e, na China, experimentar os ovos centenários. Na Austrália vai conhecer o ornitorrinco; na Finlândia, a noite polar; e em Fiji poderá nadar em alguma de suas 200 ilhas.Descubra os lugares mais surpreendentes da Terra e desfrute toda a sua diversidade. São 55 mapas em página dupla de 46 países e 6 continentes. Mais de 4 mil ilustrações minuciosas, das mais altas montanhas aos minúsculos insetos. Um maravilhoso livro ilustrado para leitores curiosos e inquietos, com mais de 10 prêmios internacionais.",https://www.travessa.com.br/mapas-uma-viagem-deslumbrante-pelas-terras-mares-e-culturas-do-mundo-2-ed-2020/artigo/708d367f-b882-4923-8dc3-5f34f5f31ffe
Mogli: o menino lobo,The jungle book,9788546900404,NA,Português,Brochura,17 x 24,NA,NA,2016,NA,96ª,NA,NA,Rudyard Kipling,Martins Fontes - WMF,Infantil,"Tendo como cenário a Índia Central, a história de Mogli, o menino criado por uma alcateia de lobos, é cheia de ação, aventura e amizade. Ao longo de sua jornada, para provar que merece ser respeitado pela Lei da Selva, ele encontra personagens memoráveis, como o perverso tigre Shere Khan, a sábia pantera-negra, Baguera, e o afável urso Balu.",https://www.travessa.com.br/mogli-o-menino-lobo-96-ed-2016/artigo/dd2f6789-2fb8-42fb-9758-e2c2e8f2f70b
"Mulheres na luta: 150 anos em busca de liberdade, igualdade e sororidade","Kvinner i kamp:150 års kamp for frihet, likhet, søsterskap!",9788555340802,Estudos de genero,Português,Capa dura,"20,4 x 27,7 x 1,2",128,NA,2019,2018,1ª,NA,NA,"Marta Breen, Jenny Jordahl",Seguinte,HQ e Desenho Animado,"O movimento feminista em quadrinhos, para jovens e adultos.Há 150 anos, a vida das mulheres era muito diferente: elas não podiam tomar decisões sobre seu corpo, votar ou ganhar o próprio dinheiro. Quando nasciam, os pais estavam no comando; depois, os maridos. O cenário só começou a mudar quando elas passaram a se organizar e a lutar por liberdade e igualdade.Neste livro, Marta Breen e Jenny Jordahl destacam batalhas históricas das mulheres — pelo direito à educação, pela participação na política, pelo uso de contraceptivos, por igualdade no mercado de trabalho, entre várias outras —, relacionando-as a diversos movimentos sociais. O resultado é um rico panorama da luta feminista, que mostra o avanço que já foi feito — e tudo o que ainda precisamos conquistar.",https://www.travessa.com.br/mulheres-na-luta-150-anos-em-busca-de-liberdade-igualdade-e-sororidade-1-ed-2019/artigo/59f4da70-11f1-49bf-bcff-49d6d7f1c884
Ninguem vira adulto de verdade,Adulthood is a myth,9788555340215,NA,Português,Capa dura,"16 x 19,7",114,NA,2016,2016,1ª,NA,NA,Sarah Andersen,Seguinte,HQ e Desenho Animado,"As tirinhas certeiras de Sarah Andersen, que já contam com mais de 1 milhão de fãs no Facebook, registram lindos fins de semana passados de pernas pro ar na internet, a agonia de andar de mãos dadas com alguém de quem estamos a fim (e se os dedos ficarem suados?!), a longa espera diária para chegar em casa e vestir o pijama, e a eterna dúvida de quando, exatamente, a vida adulta começa. Em outras palavras, este livro é sobre as estranhezas e peculiaridades de ser um jovem adulto na vida moderna. A sinceridade com que Sarah Andersen lida com temas como autoestima, timidez, relacionamentos e a frequência com que lavamos o sutiã torna impossível não se identificar com esses quadrinhos hilários e carismáticos.",https://www.travessa.com.br/ninguem-vira-adulto-de-verdade-1-ed-2016/artigo/8ae35bf0-f516-49c3-9af5-9d6724c4572e
Nos: uma antologia de literatura indigena,NA,9788574068640,NA,Português,Brochura,"15,5 x 22,2 x 1",128,NA,2019,2019,1ª,NA,NA,Mauricio Negro,Companhia das Letrinhas,Infantil,"Nesta belíssima antologia ilustrada, o leitor vai conhecer dez histórias contadas ou recontadas por escritores de diferentes nações indígenas.A menina Yacy-May era tão especial que fez com que o sol se apaixonasse por ela, deixando a lua enciumada. O peixe-boi surgiu a partir da união de Guaporé, filho do grande chefe dos peixes, com Panãby’piã, filha do governante dos Maraguá, e sinalizou a paz entre os humanos e os peixes. A velha misteriosa Pelenosamo tem um dia a casa invadida por uma garota curiosa, que resolve investigar o que ela fazia com os galhos secos que sempre levava recolhia e não dividia com ninguém. Essas são algumas prévias das histórias reunidas nesta antologia, contadas ou recontadas por escritores das nações indígenas Mebengôkre Kayapó, Saterê-Mawé, Maraguá, Pirá-Tapuya Waíkhana, Balatiponé Umutina, Desana, Guarani Mbyá, Krenak e Kurâ Bakairi. Tratando dos mais diversos temas — dos mitos de origem às histórias de amor impossível —, as narrativas conduzem o leitor por situações e desenlaces muito próprios, sempre acompanhadas por um glossário e um texto informativo sobre o povo indígena de origem de cada autor. Esta é uma chance preciosa para todos aqueles que desejam entrar em contato com as raízes mais profundas de nossa cultura, ainda pouco valorizadas e respeitadas, por puro desconhecimento.",https://www.travessa.com.br/nos-uma-antologia-de-literatura-indigena-1-ed-2019/artigo/a46d883a-5649-47d3-9ac1-7a60c572627f
O caderno da avo clara,NA,9788582055960,NA,Português,Brochura,"15,8 x 22,9",152,NA,2016,NA,1ª,NA,NA,Susana Ventura,SESI SP,Infantil,"Mudança pode ser bom, mas contra vontade é de matar! É isso que pensa Mari, uma adolescente de 13 anos, deixada pela mãe na companhia de um pai que é um desconhecido completo e que, ainda por cima, mora num lugar distante. Surpreendentes encontros levam a garota a travar uma aventura sensível, delicada e intelectiva, a partir do encontro dela com o caderno da avó e da descoberta da arte de Portinari. O caderno da avó Clara é um convite para conhecer um universo de histórias intrigantes que parecem capazes de iluminar o presente de Mari, uma heroína valente e moderna, que enfrenta desafios munida de um bom sinal de internet e um ótimo senso de humor.",https://www.travessa.com.br/o-caderno-da-avo-clara-1-ed-2016/artigo/5226a3df-cca1-46e8-b90a-8c4ec8be4c6a
O coraçao as vezes para de bater,NA,9788579801785,NA,Português,Brochura,14 x 21,80,NA,2013,2013,1ª,NA,NA,Adriana Lisboa,Rocco Jovens Leitores,Juvenil,"Novela juvenil de Adriana Lisboa que inspirou um curta-metragem homônimo dirigido por Maria Camargo, O coração às vezes para de bater é o desabafo em forma de carta de um garoto de 15 anos que escreve para um amigo hospitalizado. Vindos de contextos sociais diferentes, os dois são cariocas e dividem a paixão pelo skate. Em flashes curtos, rápidos e precisos, o protagonista faz um inventário das alegrias e tristezas de um adolescente brasileiro dos dias de hoje, entre elas as dificuldades com a família, as relações sociais numa cidade como o Rio de Janeiro e a descoberta do amor.",https://www.travessa.com.br/o-coracao-as-vezes-para-de-bater-1-ed-2013/artigo/ef4e2031-a4a1-4985-9e8e-6d6cd38f3b1a
O escaravelho do diabo,NA,9788508173532,NA,Português,Brochura,"13,5 x 18,5",192,Vaga-lume,2015,NA,1ª,NA,NA,Lucia Machado de Almeida,Ática,Juvenil,O moço estava quase convencido de que a morte de seu irmão tinha relação com a de Clarence. Se bem que em vida ambos se ignorassem reciprocamente havia uma ligação íntima qualquer a uni-los na morte.,https://www.travessa.com.br/o-escaravelho-do-diabo-1-ed-2015/artigo/690a38ee-7966-4117-b576-9e9a43453c39
O livro dos ressignificados,NA,9788584390816,NA,Português,Brochura,14 x 21,216,NA,2017,2017,1ª,NA,NA,Akapoeta,Paralela,Poesia Brasileira,"Antes aprisionadas na formalidade dos dicionários, palavras como “girassol”, “Deus”, “sonho”, “tatuagem”, “cafuné” e muitas outras são libertadas por João Doederlein — que assina com o pseudônimo Akapoeta — neste seu primeiro livro. Elas são repensadas a partir das experiências pessoais do autor, de vinte anos, e de sua geração, mesclando romantismo bem resolvido, paixão, isolamento e um dia a dia que respira tecnologia e cultura pop.Combinando textos que se tornaram sucesso nas redes sociais com material inédito, o autor acha novos significados para os signos do zodíaco, para clichês indispensáveis como “paixão” e “saudade” e para as atualíssimas “match” e “crush”. Uma história de amor correspondido entre um jovem e sua musa — a escrita.",https://www.travessa.com.br/o-livro-dos-ressignificados-1-ed-2017/artigo/14388fb1-a7dc-40a8-b5fd-9208fda3fbc2
O medico e o monstro,NA,9788508082377,NA,Português,NA,NA,NA,O tesouro dos classicos,NA,NA,NA,NA,NA,Robert Louis Stevenson,Ática,Infantil,Sinopse não disponível.,https://www.travessa.com.br/o-medico-e-o-monstro/artigo/62e571aa-eb7a-4192-8e5d-737542e24179
O medo e o mar,NA,9788535914689,Literatura,Português,Brochura,14 x 21,144,NA,2009,2009,1ª,NA,NA,Maria Camargo,Seguinte,Juvenil,"Dois anos após a morte da mulher num acidente no mar, Rodrigo e os filhos, Stela e Miguel, voltam a Paraty, no litoral do Rio de Janeiro. Tudo na casa está como da última vez: baralho amontoado na mesa, panelas no escorredor e um frasco de repelente caído no chão. Disposto a seguir em frente, Rodrigo retoma suas aulas de mergulho e contrata a bela e misteriosa Bárbara como babá. Stela, inconformada com a morte da mãe, não entende por que voltar ao lugar do trágico acidente. Miguel, agora com oito anos, pouco se lembra da figura materna, mas carrega no pescoço uma chave que foi encontrada com ela na baía de Paraty.O que seria uma reconciliação com o passado ganha contornos aventurescos graças a uma sucessão de acontecimentosinexplicáveis. O menino vê pessoas que ninguém mais enxerga. Bárbara faz biscoitos de canela idênticos aos da mãe.Nas ruas da cidade uma velha observa os irmãos de modo enigmático. E a chave emite uma luz esbranquiçada.O que os dois jovens heróis irão descobrir é que há muita gente interessada no retorno da família, em especial nachave, que guarda um segredo de duzentos anos. O medo e o mar é um livro de aventura em que os protagonistas devemsuperar os próprios temores para conseguir desvendar o mistério por trás desses estranhos acontecimentos.",https://www.travessa.com.br/o-medo-e-o-mar-1-ed-2009/artigo/bc8ea036-87f4-435b-b6ef-3d640a0b40a5
